# AMD64 board and isolated ablations, tail-call.md item 23.
# emulator workload rep seconds (each emulator's own boot baseline subtracted).
# Supersedes results-amd64-board-rvvm.txt, whose QEMU columns were not baseline-subtracted.
# --- corrected five-column board
abl-no-fpcsr zlib 3 8.392
abl-no-crossmap zlib 3 8.52
new-jit hash 3 4.961
abl-no-ctx256 hash 3 4.807
abl-no-fpcsr hash 3 4.924
abl-no-crossmap hash 3 5.121
new-jit syscall 3 0.937
abl-no-ctx256 syscall 3 1.094
abl-no-fpcsr syscall 3 0.895
abl-no-crossmap syscall 3 1.714
new-jit double 3 3.643
abl-no-ctx256 double 3 3.752
abl-no-fpcsr double 3 3.65
abl-no-crossmap double 3 4.653
new-jit sieve 3 5.388
abl-no-ctx256 sieve 3 5.251
abl-no-fpcsr sieve 3 5.235
abl-no-crossmap sieve 3 4.722
new-jit int64 3 2.81
abl-no-ctx256 int64 3 2.859
abl-no-fpcsr int64 3 2.817
abl-no-crossmap int64 3 5.572
new-jit matrixprod 3 3.762
abl-no-ctx256 matrixprod 3 4.194
abl-no-fpcsr matrixprod 3 2.697
abl-no-crossmap matrixprod 3 4.295
# --- bundled pre/post-merge A/B (baseline-subtracted, unaffected by the QEMU defect)
ab-seam-jit nop 1 1.057
ab-new-jit nop 1 0.939
ab-seam-jit regs 1 4.423
ab-new-jit regs 1 4.315
ab-seam-jit branch 1 1.645
ab-new-jit branch 1 1.719
ab-seam-jit tree 1 4.945
ab-new-jit tree 1 4.262
ab-seam-jit qsort 1 7.419
ab-new-jit qsort 1 5.091
ab-seam-jit memcpy 1 3.489
ab-new-jit memcpy 1 3.318
ab-seam-jit zlib 1 8.551
ab-new-jit zlib 1 8.459
ab-seam-jit hash 1 4.985
ab-new-jit hash 1 5.046
ab-seam-jit syscall 1 1.701
ab-new-jit syscall 1 0.919
ab-seam-jit double 1 4.611
ab-new-jit double 1 3.625
ab-seam-jit sieve 1 4.776
ab-new-jit sieve 1 5.307
ab-seam-jit int64 1 5.486
ab-new-jit int64 1 2.813
ab-seam-jit matrixprod 1 5.556
ab-new-jit matrixprod 1 3.923
ab-seam-jit nop 2 1.064
ab-new-jit nop 2 0.926
ab-seam-jit regs 2 4.366
ab-new-jit regs 2 4.31
ab-seam-jit branch 2 1.609
ab-new-jit branch 2 1.661
ab-seam-jit tree 2 4.799
ab-new-jit tree 2 4.449
ab-seam-jit qsort 2 7.211
ab-new-jit qsort 2 5.07
ab-seam-jit memcpy 2 3.447
ab-new-jit memcpy 2 3.388
ab-seam-jit zlib 2 8.657
ab-new-jit zlib 2 8.734
ab-seam-jit hash 2 5.024
ab-new-jit hash 2 4.772
ab-seam-jit syscall 2 1.598
ab-new-jit syscall 2 0.85
ab-seam-jit double 2 4.58
ab-new-jit double 2 3.634
ab-seam-jit sieve 2 4.795
ab-new-jit sieve 2 5.177
ab-seam-jit int64 2 5.406
ab-new-jit int64 2 2.824
ab-seam-jit matrixprod 2 5.398
ab-new-jit matrixprod 2 4.161
ab-seam-jit nop 3 1.051
ab-new-jit nop 3 1.001
ab-seam-jit regs 3 4.516
ab-new-jit regs 3 4.288
ab-seam-jit branch 3 1.59
ab-new-jit branch 3 1.585
ab-seam-jit tree 3 4.86
ab-new-jit tree 3 4.423
ab-seam-jit qsort 3 7.308
ab-new-jit qsort 3 5.159
ab-seam-jit memcpy 3 3.382
ab-new-jit memcpy 3 3.37
ab-seam-jit zlib 3 8.348
ab-new-jit zlib 3 8.525
ab-seam-jit hash 3 5.236
ab-new-jit hash 3 5.073
ab-seam-jit syscall 3 1.694
ab-new-jit syscall 3 0.929
ab-seam-jit double 3 4.726
ab-new-jit double 3 3.595
ab-seam-jit sieve 3 4.696
ab-new-jit sieve 3 5.283
ab-seam-jit int64 3 5.241
ab-new-jit int64 3 2.664
ab-seam-jit matrixprod 3 5.376
ab-new-jit matrixprod 3 4.055
